url_path,views_total,views_unique
/miroapp/app-examples,240,172
/miroapp/app-examples/tree/main/examples,164,52
/miroapp/app-examples/tree/main/examples/drag-and-drop,89,24
/miroapp/app-examples/tree/main/examples/csv-to-mindmap,77,25
/miroapp/app-examples/tree/main/examples/blob-maker,67,31
/miroapp/app-examples/tree/main/examples/calendar,54,19
/miroapp/app-examples/tree/main/examples/ai-image-generator,50,12
/miroapp/app-examples/tree/main/examples/github-appcards,34,13
/miroapp/app-examples/tree/main/examples/stickynotes-to-shapes,30,6
/miroapp/app-examples/tree/main/examples/html-preview,29,7
